[ 2025-06-06 10:54:36,385 ] 55 root - INFO - Initiate the data ingestion
[ 2025-06-06 10:54:48,550 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-06-06 10:54:48,550 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-06 10:54:48,550 ] 70 root - INFO - Exporting train and test file path.
[ 2025-06-06 10:54:48,596 ] 77 root - INFO - Exported train and test file path.
[ 2025-06-06 10:54:48,596 ] 57 root - INFO - Data Initiation Completed
[ 2025-06-06 10:54:48,604 ] 61 root - INFO - Initiate the data Validation
[ 2025-06-06 10:54:48,677 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 10:54:48,677 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 10:54:48,679 ] 34 root - INFO - Required number of columns:2
[ 2025-06-06 10:54:48,679 ] 35 root - INFO - Data frame has columns:31
[ 2025-06-06 10:54:48,804 ] 63 root - INFO - data Validation Completed
